Alta cappella;NULL;NULL
Alternative R&B;{Bass guitar|Drum kit|Drum machine|Synthesizer|Electric guitar};{Indie rock|Contemporary R&B|Hip hop music|Electronic music|Electronic dance music}
Alternative country;{Banjo|Bass guitar|Cello|Drum|Guitar|Harmonica|Mandolin|Piano|Vocal music|Fiddle|Pedal steel guitar|Lap steel guitar};{Country music|Punk rock|Country rock|Alternative rock|Outlaw country|Progressive country|Neotraditional country}
Alternative dance;{Bass guitar|Drum kit|Percussion instrument|Digital audio workstation|Synthesizer|Electric guitar|Sampler (musical instrument)|Electronic keyboard|Direct-drive turntable};{House music|New wave music|Electronica|Synthpop|Indie rock|Alternative rock|Dance-rock|Post-disco|Post-punk}
Alternative hip hop;{Bass guitar|Drum kit|Guitar|Rapping|Drum machine|Keyboard instrument|Synthesizer|Sampler (musical instrument)|Turntablism};{Funk|Reggae|Alternative rock|Jazz fusion|Rap rock|Hip hop music|Electronic music|Psychedelic music}
Alternative metal;{Bass guitar|Drum kit|Piano|Singing|Electric guitar|Electronic keyboard};{Heavy metal music|Alternative rock}
Alternative reggaeton;Sampling (music);Reggaeton
Alternative rock;{Bass guitar|Drum kit|Singing|Electric guitar};{New wave music|Punk rock|Hardcore punk|Post-punk}
Ambient house;Electronic musical instrument;{House music|Ambient music|Electro (music)|Acid house}
Ambient industrial;{Electronic musical instrument|Sampler (musical instrument)|Field recording};{Ambient music|Noise music|Industrial music}
Ambient music;NULL;{Psychedelic rock|Progressive rock|Space rock|Dub music|Krautrock|Minimal music|Drone music|Electronic music|Experimental music|Background music|Furniture music}
Anarcho-punk;{Bass guitar|Drum kit|Singing|Electric guitar};Punk rock
Anatolian rock;{Bass guitar|Drum kit|Guitar|Keyboard instrument|Bağlama};{Psychedelic rock|Progressive rock|Folk rock|Psychedelic folk|Turkish folk music}
Andean new age music;NULL;NULL
Anti-folk;{Bass guitar|Drum|Guitar|Piano};{Folk music|Punk rock|Folk punk|Avant-garde music}
Apala;Agidigbo;Music of Cuba
Arabesque (Turkish music);{Bağlama|Zurna};{Arabic music|Turkish folk music|Middle Eastern music|Byzantine music}
Arabesque (classical music);NULL;NULL
Arabic pop music;{Bass guitar|Drum machine|Keyboard instrument|Synthesizer|Electric guitar|Turntablism|Roland TR-707};{Traditional pop music|Arabic music}
Armenian folk music;NULL;NULL
Armenian rock;Electric guitar;{Heavy metal music|Rock and roll|Progressive rock|Hard rock|Folk rock|British Invasion}
Art pop;NULL;{Pop music|Pop art}
Art punk;{Bass guitar|Drum kit|Guitar|Singing|Musical keyboard};{Punk rock|Art rock|Krautrock|Proto-punk|Experimental rock}
Art rock;NULL;{Blues|Folk music|Psychedelic rock|Baroque pop|Experimental rock|Jazz|Art music|Classical music|Avant-garde music}
Ashiqs of Azerbaijan;Bağlama;World music
Asian-American jazz;NULL;{Jazz|Music of Asia}
Athabaskan fiddle;{Old time fiddle|Guitar};{Jig|Waltz|Two-step (dance move)|Square_Dances}
Atlanta blues;{Drum kit|Guitar|Harmonica|Piano|Drum machine|Singing|Synthesizer};{Blues|Country blues}
Australian hip hop;{Synthesizer|Sampler (musical instrument)|Turntablism|Musical keyboard};{Funk|House music|Soul music|Dub music|Dancehall|Oldschool jungle|Rap rock|Contemporary R&B|Post-punk|Deejay (Jamaican)|Hip hop}
Austropop;{Drum kit|Singing|Electric guitar|Steel-string acoustic guitar};{Pop music|Rock music}
Avant-garde jazz;NULL;{Bebop|Free jazz|Jazz|20th-century classical music|Modernism (music)|Avant-garde music}
Avant-garde metal;{Drum machine|String instrument|Wind instrument|Electronic keyboard};{Heavy metal music|Progressive rock|Extreme metal|Experimental rock}
Avant-prog;Guitar;{Art rock|Progressive rock|Avant-garde jazz|Experimental rock|20th-century classical music|Avant-garde music}
BMG movement;NULL;NULL
Bachata (music);{Bass guitar|Güira|Bongo drum|Requinto};NULL
Bachatón;{Bass guitar|Drum machine|Singing|Güira|Sampling (music)|Bongo drum|Requinto};NULL
Bagad;{Percussion instrument|Binioù kozh|Bombard (music)};{Music of Brittany|Pipe band}
Baggy;{Bass guitar|Drum kit|Keyboard instrument|Electric guitar};{Neo-psychedelia|Acid house|Madchester}
Bailatronic;NULL;{Electro (music)|Dubstep|Trap music|Baila}
Baisha xiyue;NULL;NULL
Baithak Gana;NULL;NULL
Bakersfield sound;{Banjo|Bass guitar|Drum|Guitar|Piano|Violin|Singing|Pedal steel guitar};{Country music|Pop music}
Balearic beat;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)};{House music|Electronica|Bossa nova|Post-disco|History of the Mediterranean region}
Balearic trance;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)};{Trance music|Electronica|Balearic beat|History of the Mediterranean region}
Balkan brass music;Brass instrument;Folk music
Balkan jazz;NULL;NULL
Ballata;NULL;NULL
Baltimore club;{Synthesizer|Personal computer|Turntablism};{Breakbeat|Chicago house|Garage music (US garage)|Hip hop music|Bass music}
Balwo;NULL;NULL
Bambuco;Tiple;{Indigenous peoples in Colombia|Afro-Colombians|Waltz}
Banda Sinfónica;NULL;NULL
Bandana thrash;{Bass guitar|Drum kit|Singing|Electric guitar};{Youth crew|Thrashcore|Crossover thrash|Powerviolence}
Bandish;NULL;NULL
Banjo music;{Dobro|Banjo|Bass guitar|Drum|Double bass|Guitar|Harmonica|Mandolin|Piano|Electric guitar|Fiddle|Steel guitar|Pedal steel guitar|Electronic keyboard};{Blues|Bluegrass music|Gospel music|Old-time music|Western swing|Music of the United Kingdom|Appalachian music}
Bantowbol;NULL;NULL
Barbershop music;{A cappella|Pitch pipe|Finger snapping};NULL
Bard (Soviet Union);Singing;{Russian literature|Romance (music)|Russian traditional music}
Baroque pop;{Bass guitar|Drum kit|French horn|Guitar|Harpsichord|String instrument|Organ (music)};{Pop music|Rock music|Classical music|Baroque music}
Bass music;NULL;NULL
Bassline (music genre);{Drum machine|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Turntablism};{Speed garage|Italo house|Grime music|UK garage}
Batá-rumba;NULL;NULL
Beat music;{Bass guitar|Drum kit|Guitar|Harmonica|Singing|Electronic keyboard};{Pop music|Rhythm and blues|Doo-wop|Skiffle|British rock and roll}
Bebop;NULL;{Swing music|Kansas City jazz}
Bend-skin;NULL;NULL
Benga music;{Bass guitar|Nyatiti};{Soukous|Luo peoples}
Benna (genre);NULL;NULL
Bereznianka;NULL;NULL
Bergamask;NULL;NULL
Berlin School of electronic music;{Guitar|Mellotron|Music sequencer|Synthesizer};{Psychedelic rock|Krautrock|Minimal music|Electronic music}
Beste (Turkish music);NULL;NULL
Bhangra (music);{Bass guitar|Drum kit|Violin|Keyboard instrument|Sitar|Singing|Dhol|Dholki|Acoustic guitar|Tabla|Tumbi|Sarangi|Electric guitar|Dhadd|Daf};Punjab (region)
Bhatiali;NULL;NULL
Bhavageete;NULL;NULL
Big band;{Brass instrument|Double bass|Drum kit|Guitar|Piano|Percussion instrument|Saxophone|Violin|String instrument|Vibraphone|Rhythm section};Jazz
Big beat;{Bass guitar|Drum kit|Drum machine|Music sequencer|Synthesizer|Electric guitar|Sampler (musical instrument)|Electronic keyboard|Direct-drive turntable};{Drum and bass|House music|Breakbeat hardcore|Breakbeat|Electronica|Industrial music|Electronic body music|Alternative rock|Neo-psychedelia|Electronic rock|Hip hop music|Acid house|Alternative dance|Post-punk}
Biguine;{Bélé|Accordion|Clarinet|Drum kit|Piano|Saxophone|Trumpet|Tuba|Acoustic guitar|Maraca|List of Caribbean idiophones};{Polka|Bélé}
Bikutsi;Balafon;NULL
BisRock;{Bass guitar|Drum kit|Acoustic guitar|Electric guitar};{Pinoy rock|Music of the Philippines}
Bitpop;{Bass guitar|Drum kit|Singing|Synthesizer|Personal computer|Electric guitar|Sound chip};{New wave music|Chiptune|Electronica|Synthpop|Video game music}
Black metal;{Bass guitar|Drum kit|Singing|Screaming (music)|Electric guitar};{Death metal|Hardcore punk|Thrash metal}
Blackgaze;{Bass guitar|Drum kit|Keyboard instrument|Singing|Screaming (music)|Synthesizer|Electric guitar};{Black metal|Post-rock|Shoegazing|Post-metal}
Blue-eyed soul;NULL;{Rhythm and blues|Soul music}
Bluegrass music;{Dobro|Banjo|Double bass|Mandolin|Acoustic guitar|Bluegrass fiddle|Washboard (musical instrument)};{Blues|Old-time music|Jazz|Folk music of England|African-American music|Appalachian music|Folk music of Ireland|Scottish folk music|String band}
Blues;{Bass guitar|Cornet|Drum|Double bass|Guitar|Harmonica|Piano|Saxophone|Trombone|Trumpet|Vocal music};{Folk music|Spiritual (music)|Music of Africa|Work song}
Blues rock;{Bass guitar|Drum kit|Hammond organ|Harmonica|Piano|Singing|Electric guitar};{Blues|Rock and roll|Rock music|British blues|Electric blues}
Bocet;NULL;NULL
Boedra;NULL;NULL
Boeremusiek;NULL;NULL
Boi (music);NULL;NULL
Bolel;NULL;NULL
Boleras;NULL;NULL
Bolero;NULL;NULL
Bomba (Ecuador);NULL;NULL
Bomba (Puerto Rico);{Singing|Maraca|Barril de bomba};NULL
Bongo Flava;{Bass guitar|Drum kit|Guitar|Percussion instrument|Keyboard instrument|Singing};{Hip hop|Music of Tanzania}
Boogaloo;{Bass guitar|Double bass|Piano|Saxophone|Trombone|Trumpet|Güiro|Conga|Electric guitar|Bongo drum|Timbales};{Rhythm and blues|Soul music|Son (music)}
Boogie-woogie;Piano;{Blues|Ragtime}
Boogie (genre);{Bass guitar|Drum kit|Percussion instrument|Human voice|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)|Latin percussion};{Funk|New wave music|Synthpop|Contemporary R&B|Post-disco|Jazz}
Boogie rock;{Bass guitar|Drum|Guitar|Harmonica|Piano|Electric organ};{Rock and roll|Rhythm and blues|Hard rock|Boogie-woogie|Blues rock}
Boomba music;{Rapping|Keyboard instrument|Singing|Sampler (musical instrument)};{Reggae|Music of Africa|Hip hop}
Borgeet;NULL;NULL
Bosnian rock;NULL;NULL
Bossa nova;{Classical guitar|Drum kit|Piano|Electronic organ|Acoustic guitar|Acoustic bass guitar};{Samba|Jazz}
Bothy band;NULL;NULL
Bounce music;{Phonograph|Human voice|Mixing console|Sampler (musical instrument)};Southern hip hop
Bouncy techno;{Drum machine|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Musical keyboard};{Breakbeat hardcore|4-beat|Italo house|Gabber}
Bouyon music;{Bélé|Accordion|Drum kit|Guitar|Tambourine|Keyboard instrument|Güiro|Maraca|List of Caribbean membranophones};{Zouk|Cadence-lypso|Bélé|Jing ping|Chanté mas|Mazurka|Kwadril|List of Caribbean membranophones}
Bouyon soca;{Bass guitar|Drum kit|Guitar|Drum machine|Synthesizer|Horn section};{Soca music|Bouyon music}
Boy band;{Saxophone|Music sequencer|Horn section|Sampler (musical instrument)};{Pop music|Electropop|Dance-pop|Contemporary R&B|Hip hop music}
Bozlak;NULL;NULL
Brazilian rock;{Bass guitar|Drum kit|Percussion instrument|Keyboard instrument|Acoustic guitar|Electric guitar};{Blues|Rock and roll|Rock music|Music of Brazil}
Breakbeat;{Phonograph|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)};{Funk|Electro (music)|Post-disco|Hip hop music|Freestyle music|Turntablism}
Breakbeat hardcore;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Breakbeat|Rave music|British hip hop|Acid house|Techno}
Breakcore;{Drum machine|Keyboard instrument|Music sequencer|Programming (music)|Synthesizer|Personal computer|Sampler (musical instrument)};{Drum and bass|Intelligent dance music|Digital hardcore|Hardcore (electronic dance music genre)|Electro-industrial}
Breakstep;{Drum machine|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Turntablism};{Drum and bass|Breakbeat|2-step garage}
Brisbane punk rock;Drum kit;{Rock and roll|Glam rock|Garage rock|Surf music|Proto-punk}
Brit funk;{Bass guitar|Drum kit|Hammond organ|Keyboard instrument|Synthesizer|Conga|Horn section|Electric guitar|Clavinet};{Funk|Reggae|Soul music}
British blues;{Bass guitar|Drum|Guitar|Harmonica|Piano|Saxophone|Vocal music};{Blues|Skiffle|Electric blues|British rhythm and blues|British jazz}
British hip hop;{Guitar|Rapping|Drum machine|Synthesizer|Sampler (musical instrument)|Turntablism};{Garage music (US garage)|Hip hop music|Urban contemporary}
British rock and roll;{Bass guitar|Double bass|Drum kit|Piano|Saxophone|Electric guitar};{Rock and roll|Skiffle}
Britpop;{Bass guitar|Drum kit|Keyboard instrument|Singing|Electric guitar};{Punk rock|Glam rock|Hard rock|Alternative rock|Power pop|Baggy|Baroque pop|Mod revival|Madchester}
Bro-country;NULL;{Country music|Hard rock|Hip hop music|Electronic music}
Broder singer;NULL;NULL
Broken beat;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Funk|House music|Soul music|Contemporary R&B|UK garage|Jazz}
Brown-eyed soul;{Bass guitar|Drum kit|Guitar|Keyboard instrument|Horn section};{Blues|Rock and roll|Rhythm and blues|Music of Latin America|Soul music|Doo-wop}
Brukdown;{Accordion|Banjo|Bass guitar|Drum kit|Guitar|Jaw|Bell|Goombay|Turtle shell|Grater};Kaiso
Bubblegum dance;{Drum machine|Singing|Synthesizer};{Bubblegum pop|Eurodance}
Bubblegum pop;{Bass guitar|Drum kit|Guitar|Drum machine|Keyboard instrument|Singing|Synthesizer|Sampler (musical instrument)};{Pop music|Garage rock|Novelty song|Pop rock|Psychedelic pop|Comedy music|Nursery rhyme|Children's music}
Buddhist music;NULL;NULL
Bullerengue;{Drum kit|Percussion instrument|Woodwind instrument|Güiro|Maraca|Claves|Kuisi};NULL
Burban;NULL;Rhythm and blues
Bélé;{Triangle (musical instrument)|Maraca|List of Caribbean idiophones};West Africa
Ca din tulnic;NULL;NULL
Cadence-lypso;{Bass guitar|Drum kit|Guitar|Synthesizer|Horn section|Cowbell};{Calypso music|Cadence rampa}
Cadence rampa;{Bass guitar|Drum|Guitar|Keyboard instrument|Conga|Horn section|Cowbell|Tanbou};Méringue
Café-chantant;NULL;NULL
Cajun fiddle;{Banjo|Bass guitar|Double bass|Guitar|Harmonica|Triangle (musical instrument)|Fiddle|Steel guitar|Cajun accordion};Ballad
Cajun music;{Banjo|Bass guitar|Double bass|Guitar|Harmonica|Mandolin|Triangle (musical instrument)|Fiddle|Steel guitar|Cajun accordion};Ballad
Cakewalk;{Banjo|Piano};{Reel (dance)|Jig|African-American music}
California Sound;{Bass guitar|Drum kit|Guitar|Keyboard instrument|Close and open harmony};{Rock and roll|Rhythm and blues|Doo-wop|List of vocal groups}
Calypso music;{Bass guitar|Clarinet|Flute|Saxophone|Trombone|Trumpet|Violin|Steelpan|Conga|Maraca|Bongo drum|Claves|Spanish guitar|Cuatro (Venezuela)|Concertina|Jawbone (instrument)};{Kaiso|Canboulay}
Canadian blues;{Bass guitar|Drum|Double bass|Harmonica|Piano|Saxophone|Trombone|Trumpet|Vocal music|Electric guitar};{Blues|Chicago blues|Jump blues|Electric blues|Blues rock}
Canadian country music;NULL;NULL
Canción;NULL;NULL
Candombe;NULL;NULL
Cante Alentejano;NULL;Music of Portugal
Cante jondo;NULL;NULL
Canterbury scene;{Bass guitar|Drum kit|Guitar|Synthesizer};{Psychedelic rock|Free jazz|Jazz fusion|Experimental rock|Avant-garde music}
Cantes a palo seco;NULL;NULL
Cantiñas;NULL;NULL
Cantu a chiterra;NULL;NULL
Cape jazz;{Banjo|Brass instrument|Guitar|Percussion instrument};{Folk music|Jazz}
Caporales;NULL;Saya (artform)
Capriccio (music);NULL;NULL
Car song;NULL;{Blues|Rock and roll|Rock music|Rhythm and blues|Ragtime|Soul music|Traditional pop music|Doo-wop|Surf music|March (music)|Dance music|Popular music}
Cartageneras;NULL;NULL
Cavalier song;NULL;NULL
Celempungan;NULL;NULL
Cello rock;{Bass guitar|Cello|Drum kit|Singing|Electric guitar};{Heavy metal music|Art rock|Baroque pop|Classical music}
Celtic fusion;NULL;Celtic music
Celtic metal;{Bass guitar|Drum kit|Singing|Electric guitar|Folk instrument};{Folk metal|Celtic music}
Celtic punk;{Accordion|Banjo|Bass guitar|Bagpipes|Drum kit|Mandolin|Tin whistle|Singing|Electric guitar|Fiddle};{Punk rock|Electric folk|Celtic rock|Folk punk|Celtic music}
Celtic rock;{Accordion|Banjo|Bass guitar|Bagpipes|Drum kit|Guitar|Harp|Mandolin|Tin whistle|Keyboard instrument|Fiddle};{Rock music|Folk rock|Electric folk|Celtic music}
Ceol Meadhonach;NULL;NULL
Ceòl Beag;NULL;NULL
Chaiti;NULL;NULL
Chalga;{Accordion|Bass guitar|Clarinet|Percussion instrument|Trumpet|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Electric guitar|Sampler (musical instrument)|Fiddle|Folk instrument|Šargija};{Pop music|Jazz fusion|Dance-pop|Eurodance|Arabesque (Turkish music)|Balkan brass music|Music of Russia|Russian traditional music|Music of the Republic of Macedonia|Music of Bulgaria|Music of Serbia|Balkan_pop}
Chamamé;NULL;NULL
Chamber jazz;{Brass instrument|Double bass|Guitar|Mandolin|Oboe|Piano|Saxophone|Violin|String instrument|Tabla|Rhythm section|Cimbalom};{Folk music|World music|Music of Latin America|Jazz|Classical music|Celtic music}
Champeta;NULL;{Ragga|Highlife|Soukous|Compas|Chalupa|Bullerengue|Mbquanga|Juju|Mapalé|Zambapalo}
Chamrieng Samai;NULL;NULL
Changa tuki;NULL;NULL
Chanson pour boire;NULL;NULL
Chanté mas;{French horn|Güiro|Triangle (musical instrument)|Cowbell (instrument)|Maraca|List of Caribbean membranophones|Conch};{Carnival|West Africa}
Chaoui music;NULL;NULL
Charanga-vallenata;NULL;NULL
Chicago blues;{Bass guitar|Double bass|Drum kit|Harmonica|Piano|Saxophone|Electric guitar};Delta blues
Chicago hardcore;NULL;NULL
Chicago house;{Drum kit|Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Funk|Synthpop|Electro (music)|Italo disco|Post-disco|Latin soul|Jazz}
Chicago soul;{Bass guitar|Drum kit|Human voice|Horn section|Electric guitar};{Soul music|Doo-wop|Gospel music}
Children's music;{Drum kit|Guitar|Piano|Xylophone};{Bubblegum pop|Nursery rhyme|Easy listening|Educational music}
Chilena (musical genre);NULL;NULL
Chill-out music;{Flute|Guitar|Piano|Saxophone|Rhodes piano|Drum machine|Synthesizer};{Ambient music|Electronica|Classical music}
Chillwave;{Drum machine|Synthesizer|Sampler (musical instrument)};{New wave music|Trip hop|Ambient music|Shoegazing|Dream pop|Electropop|Downtempo|Ambient house|Indie pop|Lo-fi music|Psychedelic pop}
Chimurenga music;Singing;{Electric blues|Mbira}
Chinese ambient music;{Electronic musical instrument|Electroacoustic music};{Psychedelic rock|Symphonic rock|Ambient music|Space rock|Krautrock|Minimal music|New-age music|Electronic music|C-pop|Neoclassicism (music)|Guoyue}
Chiptune;{Drum machine|Music tracker|Synthesizer|Personal computer|List of audio programming languages|Sound chip};{Synthpop|Computer music|Electronic music|Video game music}
ChopNotSlop;Phonograph;Hip hop
Chopped and screwed;{Phonograph|Mixing console|Personal computer};{Southern hip hop|Gramophone record|Purple drank}
Chopper (rap);Singing;Hip hop music
Chorale motet;NULL;Franco-Flemish School
Chouval bwa;{Bélé|Accordion|List of Caribbean idiophones|Rattle (percussion instrument)};Martinique
Chrieng Brunh;NULL;NULL
Christian R&B;{Bass guitar|Drum kit|French horn|Hammond organ|Piano|Saxophone|Human voice|Electric guitar|Vocal harmony};{Rhythm and blues|Gospel music}
Christian alternative rock;NULL;{New wave music|Christian rock|Contemporary Christian music|Alternative rock|Christian punk|Post-punk}
Christian country music;NULL;{Country music|Jesus music|Southern gospel|Hymn}
Christian electronic dance music;{Drum machine|Singing|Computer|Synthesizer};{Contemporary Christian music|Christian hip hop|Dubstep|Electronic dance music}
Christian hardcore;NULL;{Hardcore punk|Christian punk}
Christian hip hop;{Piano|Drum machine|Singing|Synthesizer|Sampler (musical instrument)|Turntablism};{Christian rock|Gospel music|East Coast hip hop|West Coast hip hop|Christian music}
Christian metal;{Bass guitar|Drum kit|Singing|Electric guitar};{Heavy metal music|Psychedelic rock|Christian rock|Hard rock|Jesus music|Blues rock}
Christian punk;{Bass guitar|Drum kit|Guitar|Keyboard instrument|Singing};{Punk rock|Christian rock|Jesus music}
Christian rock;{Bass guitar|Keyboard instrument|Organ (music)};{Rock music|Jesus music|Christian music}
Christian ska;{Bass guitar|Drum kit|Trumpet|Electric guitar|Tenor saxophone|Types of trombone};{Christian alternative rock|Ska|Contemporary Christian music|Ska punk}
Chromatic fantasia;NULL;NULL
Chumak (dance);NULL;NULL
Chumba;NULL;NULL
Chut-kai-pang;NULL;NULL
Chutney Soca;Bass guitar;Soca music
Chutney music;{Dholak|Pump organ|Dhantal|Tassa};{Soca music|Calypso music|Bhojpuri language|Cadence rampa|Filmi}
Chầu văn;NULL;NULL
Circus music;NULL;NULL
Classic female blues;{Drum|Double bass|Piano|Trombone|Trumpet|Vocal music};{Folk music|Spiritual (music)|Work song}
Cloud rap;{Rapping|Digital audio workstation|Synthesizer};{Ambient music|New-age music|Chopped and screwed|Hip hop music|Experimental hip hop|Chillwave|Psychedelic music}
Cold wave (music);{Bass guitar|Electric guitar};Post-punk
College rock;{Bass guitar|Drum kit|Keyboard instrument|Electric guitar};{New wave music|Punk rock|Post-punk}
Combined rhythm;NULL;NULL
Comedy hip hop;{Singing|Beatboxing};{Comedy music|Hip hop music}
Comedy music;NULL;Comedy
Comedy rock;NULL;{Rock music|Comedy music}
Comic song;NULL;NULL
Compas;Conga;Méringue
Concert march;NULL;NULL
Concerted madrigal;NULL;NULL
Conga (music);{Bombo criollo|Trompeta china|Ashiko};NULL
Congolese rumba;{Brass instrument|Acoustic bass guitar|Fingerstyle guitar};Son (music)
Consort song (musical);NULL;NULL
Contemporary Christian music;{Bass guitar|Drum kit|Guitar|Piano|Keyboard instrument|Singing|Synthesizer};{Pop music|Rock music|Jesus music|Christian music}
Contemporary R&B;{Drum kit|French horn|Piano|Human voice|Drum machine|Talk box|Synthesizer|Musical keyboard};{Funk|Pop music|Rhythm and blues|Soul music|Hip hop music}
Contemporary folk music;Folk instrument;Folk music
Contemporary worship music;{Bass guitar|Drum kit|Keyboard instrument|Singing|Acoustic guitar|Synthesizer|Electric guitar};{Contemporary Christian music|Jesus music}
Cool jazz;Trombone;{Bebop|Swing music}
Country and Irish;NULL;NULL
Country blues;{Guitar|Harmonica};{Blues|Country music|Folk music}
Country folk;{Guitar|Piano|Acoustic guitar|Electric guitar};{Country music|Folk music|Bluegrass music|Southern gospel|Christian country music|Progressive folk}
Country music;{Dobro|Banjo|Bass guitar|Drum|Double bass|Harmonica|Mandolin|Piano|Singing|Electronic organ|Acoustic guitar|Electric guitar|Fiddle|Steel guitar|Pedal steel guitar};{Blues|Old-time music|Appalachian music|Celtic music}
Country pop;{Dobro|Bass guitar|Drum kit|Guitar|Keyboard instrument|Organ (music)|Electric guitar|Pedal steel guitar};{Country music|Pop music|Folk rock}
Country rap;{Bass guitar|Drum kit|Guitar|Drum machine|Singing|Fiddle|Steel guitar};{Country music|Hip hop music}
Country rock;{Bass guitar|Drum|Guitar|Piano|Acoustic guitar|Electric guitar|Pedal steel guitar};{Country music|Folk rock|Rockabilly|Country folk}
Coupé-Décalé;{Phonograph|Human voice|Drum machine|Personal computer};{Zouk|Zouglou|Tribal house|Techno}
Cowpunk;{Bass guitar|Drum kit|Singing|Electric guitar};{Country music|New wave music|Punk rock|Country rock|Southern rock|Roots rock}
Crossover jazz;NULL;NULL
Crossover thrash;{Bass guitar|Drum kit|Singing|Electric guitar};{Punk rock|Speed metal|Hardcore punk|Thrash metal}
Crunk;{Rapping|Drum machine|Robotic voice effects|Synthesizer|Sampler (musical instrument)};{Gangsta rap|Southern hip hop|Miami bass|Electro (music)|Contemporary R&B|Electronic dance music}
Crunkcore;NULL;{Electropop|Crunk|Screamo|Dance-pop|Techno|Electronic music}
Crust punk;{Bass guitar|Drum kit|Singing|Electric guitar};{Hardcore punk|Anarcho-punk|Extreme metal|D-beat}
Cuban rumba;{Shekere|Conga|Claves|Cajón de rumba|Quinto (drum)|Palitos};{Abakuá|Yuka (music)}
Cumbia;{Accordion|Trombone|Güiro|Conga|Maraca|Timbales|Claves|Rabel (instrument)|Mejoranera};NULL
Cumbia rap;NULL;NULL
Cyber metal;{Bass guitar|Drum kit|Keyboard instrument|Synthesizer|Electric guitar};{Industrial metal|Extreme metal|Groove metal|Electro-industrial}
D-beat;{Bass guitar|Drum kit|Electric guitar};{Hardcore punk|Anarcho-punk|New Wave of British Heavy Metal|Street punk}
Daechwita;NULL;NULL
Dance-pop;{Bass guitar|Drum kit|Drum machine|Keyboard instrument|Music sequencer|Singing|Synthesizer|Electric guitar|Electronic drum};{House music|New wave music|Pop music|Synthpop|Electropop|Electro (music)|Post-disco|Dance music}
Dance-punk;{Bass guitar|Drum kit|Drum machine|Synthesizer|Electric guitar|Electronic keyboard};{Disco|New wave music|Krautrock|Funk rock|Post-punk|Dance music}
Dance-rock;{Bass guitar|Drum kit|Vocoder|Drum machine|Keyboard instrument|Music sequencer|Singing|Talk box|Synthesizer|Electric guitar|Sampler (musical instrument)|Electronic drum};{Disco|Funk|Rock music|Rhythm and blues|Philadelphia soul|Post-disco|Post-punk|Dance music}
