nome;genero
The Wallflowers (British band);{New wave music|Indie pop|Pop rock}
The Walls;Rock music
The Walls Group;{Soul music|Contemporary Christian music|Contemporary R&B|Traditional black gospel|Urban contemporary gospel|Alternative R&B|Christian R&B|Jazz}
The Wallstones;NULL
The Walt;Post-punk
The Walter and Hays band;Novelty_Band
The Waltones;Indie pop
The Wandas;{Psychedelic rock|Rock music|Folk rock|Indie pop}
The Wannadies;{Alternative rock|Power pop}
The Want (DC band);{Rock music|Psychobilly}
The Want (New Jersey band);{Blues rock|Stoner rock}
The Wanted;{Pop music|Dance-pop|Eurodance}
The Wanton Bishops;Rock music
The Wanton Looks;{Punk rock|Rock music|Pop punk}
The War on Drugs (band);{New wave music|Indie rock|Shoegazing|Neo-psychedelia|Post-punk|Americana (music)}
The Ward Brothers;{Pop music|Rock music}
The Warlocks;{Psychedelic rock|Alternative rock|Shoegazing|Drone music|Neo-psychedelia|Experimental rock}
The Warmers;Indie rock
The Warning (Mexican band);{Heavy metal music|Rock music}
The Warratahs;{Rock music|Country rock}
The Warren Brothers;NULL
The Warriors (band);Hardcore punk
The Warzone (group);West Coast hip hop
The Washboard Union;{Country music|Bluegrass music}
The Watanabes;Indie pop
The Watch (band);Progressive rock
The Watchmen (band);Alternative rock
The Water Tower Bucket Boys;{Bluegrass music|Old-time music|Indie folk}
The Waterboys;{Folk music|Rock and roll}
The Watersons;Folk music
The Watson Twins;{Alternative country|Indie folk}
The Watts Prophets;{Hip hop music|Jazz|Poetry|Spoken word}
The Wave Pictures;Alternative rock
The Wax Girl;{Ambient music|Post-rock}
The Waxwings;Indie rock
The Way (punk rock band);{Christian alternative rock|Punk rock|Hardcore punk|Christian rock|Pop punk|Christian hardcore}
The Waybacks;{Rock music|Bluegrass music}
The Wayfarers Trio;Folk music
The Waylors;Country music
The Weakerthans;{Indie rock|Folk rock|Folk punk|Post-punk}
The Weather Girls;{Disco|Hi-NRG|Dance-pop|Urban contemporary}
The Weather Prophets;Indie pop
The Weather Station;{Folk music|Experimental music}
The Weatherfords;{Southern gospel|Christian music}
The Weathermen (hip hop group);Hip hop music
The Weavers;Folk music
The Webb Brothers;Rock music
The Wedding (band);{Punk rock|Post-hardcore|Christian punk}
The Wedding Present;{Indie rock|Alternative rock|Jangle pop|Indie pop|Post-punk}
The Wee-Beasties;{Punk rock|Skate punk}
The Weeds (UK band);Indie pop
The Weekend (Canadian band);Pop rock
The Weeks (band);{Indie rock|Southern rock|Alternative rock}
The Weepies;{Folk rock|Acoustic music|Independent music}
The Weirdos;Punk rock
The Welcome Mat;Alternative rock
The Welcome Wagon;{Gospel music|Indie pop}
The Welfare Poets;Bomba (Puerto Rico)
The Wellingtons;{Pop music|Rock music|Power pop}
The Wellspring;{Folk rock|Indie pop}
The Wendys;{Indie pop|Baggy}
The Werks;{Funk|Psychedelic rock|Rock music|Indie rock|Roots rock|Jam band|Electronic dance music}
The Wernt;Hardcore punk
The West Coast Pop Art Experimental Band;Psychedelic rock
The Western Investor;Indie pop
The Western State Hurricanes;Indie rock
The Wet Secrets;Indie rock
The Wet Spots;{Folk music|Rock music|Rhythm and blues|Jazz|Cabaret|Comedy}
The Whatnauts;{Rhythm and blues|Soul music}
The Wheat Pool;Country rock
The Wheels;{Blues|Rock music|Rhythm and blues|Garage rock}
The Wheresville Project;{Funk|Rock and roll|Rock music}
The Whiffenpoofs;A cappella
The Whigs (band);Garage rock
The Whiles;{Indie rock|Garage rock}
The Whip (band);{Indie rock|Dance-punk|Techno|Electro house}
The Whiskey Boys;{Bluegrass music|Americana (music)}
The Whispers;{Funk|Soul music|Boogie (genre)}
The White Birch (band);Slowcore
The White Buffalo (band);Americana (music)
The White Mandingos;Rock music
The White Mice;{Grindcore|Noise music|Sludge metal}
The White Stripes;{Folk music|Garage rock|Alternative rock|Blues rock|Punk blues|Garage punk}
The White Tie Affair;NULL
The White Wires;Garage rock
The Whitefield Brothers;Funk
The Whites;{Country music|Folk music|Bluegrass music|Gospel music}
The Whitest Boy Alive;{Funk|House music|New wave music|Rock and roll|Indie pop|Electronic music|Electronic dance music}
The Whitlams;{Indie rock|Jazz}
The Whizz Kids;{Rock music|Popular music}
The Who;{Rock music|Hard rock|Power pop}
The Whodlums;{Rock music|Hard rock|Power pop|Mod revival}
The Whooliganz;{West Coast hip hop|Hip hop music}
The Whoreshoes;{Country music|Folk music|Bluegrass music}
The Why Store;Rock music
The Whybirds;{Rock music|Alternative country}
The Widow's Bane;{Gothic rock|Klezmer|Folk punk|Vaudeville|Cabaret|Murder ballad|Roots revival|Sea shanty}
The Wiggles;Children's music
The Wigs;Power pop
The Wiitala Brothers;{Rock music|Indie rock|Alternative rock}
The Wilburn Brothers;Country music
The Wild Angels (band);Rock and roll
The Wild Feathers;{Rock music|Alternative rock}
The Wild Flowers;{New wave music|Alternative rock|Jangle pop|Post-punk}
The Wild Magnolias;{Funk|Mardi Gras Indians}
The Wild Ones (band);NULL
The Wild Pair;{Contemporary R&B|Hip hop music|Dance music}
The Wild Swans (band);{New wave music|Post-punk}
The Wild Tchoupitoulas;Funk
The Wildbirds;NULL
The Wilde Flowers;NULL
The Wildes;NULL
The Wildhearts;{Punk rock|Hard rock|Power pop}
The Wilkinsons;Country music
The Williams Brothers;NULL
The Williams Brothers (Gospel group);{Gospel music|Southern gospel|Traditional black gospel|Urban contemporary gospel}
The Willis Brothers;NULL
The Willowz;Garage rock
The Wilson Family;Folk music
The Wilson Pickers;NULL
The Wilsons (country duo);Country music
The Winans;Urban contemporary gospel
The Wind-Up Bird;{Ambient music|Electronica|Independent music}
The Wind (band);{Indie rock|Psychedelic pop|Experimental rock}
The Wind Whistles;Indie folk
The Wind and The Wave;NULL
The Winding Stair;{Neofolk|Folk music of Ireland}
The Windy City Strugglers;Blues
The Winery Dogs;{Progressive rock|Hard rock|Blues rock}
The Winkies;Pub rock (United Kingdom)
The Winnipeg Singers;Choir
The Winston Giles Orchestra;{Psychedelic rock|Alternative rock|Space rock|Neo-psychedelia}
The Winstons;{Funk|Soul music}
The Wisdom of Harry;Electronic music
The Wiseguys;{Electronica|Big beat}
The Wishing Tree (band);Folk rock
The Wishing Well (band);Folk rock
The Witch Trials;Electropunk
The Wizards of Winter;{Progressive rock|Symphonic metal|Christmas music}
The Wobbly Toms;NULL
The Woe Betides;{Punk rock|Rock music|Art rock|Grunge|Electronica|Anti-folk|Psychedelic pop}
The Wolfe Brothers;Country music
The Wolfe Tones;{Music of Ireland|Pan-Celticism|Irish rebel music}
The Wolfgang Press;{Post-industrial music|Post-punk}
The Wolfhounds;Indie rock
The Wolfmen;{Alternative rock|Post-punk}
The Wolverines (jazz band);Jazz
The Wolverines (rock band);{Country music|Country rock}
The Womack Family Band;{Folk rock|Americana (music)}
The Wombats;{New wave music|Indie rock|Indie pop}
The Wombles (band);Novelty song
The Wonder Stuff;Alternative rock
The Wonder Who?;Pop rock
The Wonder Years (band);{Alternative rock|Pop punk|Melodic hardcore|Emo pop}
The Wondergirls;Hard rock
The Wood Brothers;Folk music
The Wooden Birds;Indie rock
The Wooden Sky;{Indie rock|Folk rock|Fuzz-Folk}
The Woodentops;{New wave music|Indie rock|Alternative rock}
The Woods Band;Electric folk
The Woolies;Rock music
The Word (band);{Instrumental rock|Southern rock|Jazz fusion|Blues rock|Gospel blues|Jam band|Sacred Steel (musical tradition)}
The Word Alive;{Metalcore|Avant-garde metal|Post-hardcore}
The Work (band);{Industrial music|Post-punk|Experimental rock}
The Working Hour;{Alternative rock|Power pop|Indie pop}
The Working Title;{Rock music|Indie rock}
The World's Famous Supreme Team;Hip hop music
The World/Inferno Friendship Society;{Punk rock|Dark cabaret}
The World Is a Beautiful Place & I Am No Longer Afraid to Die;{Post-rock|Emo|Indie rock}
The Wounded;{Hard rock|Gothic rock|Dark wave|Gothic metal}
The Wrays;Country music
The Wreckers;Country music
The Wrecking;{Rock music|Christian rock|Alternative rock|Pop punk}
The Wrecking Crew (music);{Pop music|Rock music}
The Wrens;{Emo|Indie rock|Alternative rock}
The Wrens (R&B band);Doo-wop
The Wrestling Boot Band;{Pop music|Rap rock|Album-oriented rock}
The Wrights (Australian band);Rock music
The Wrights (country duo);Country music
The Writing Camp;{Pop music|Dance-pop|Pop rock|Contemporary R&B}
The Wrong Object;{Progressive rock|Jazz fusion|Canterbury scene}
The Wrongstar Society;{Punk rock|Breakbeat|Dubstep|Hip hop music|Nu skool breaks}
The Wurzels;Scrumpy and Western
The Wutars;{Indie rock|Alternative rock|Indie pop}
The Wynners;{Cantopop|Hong Kong English pop}
The Wynona Riders;Pop punk
The Wytches;{Punk rock|Psychedelic rock|Grunge|Garage rock|Surf music|Low fidelity}
The X-Certs;{New wave music|Reggae}
The X-Ecutioners;{Hip hop music|Turntablism}
The XYZ Affair;Indie rock
The Xcerts;{Indie rock|Alternative rock|Power pop|Post-hardcore}
The Yale Alley Cats;{Jazz|Collegiate a cappella}
The Yardbirds;{Psychedelic rock|Blues rock}
The Yarrow;{Indie rock|Alternative rock}
The Yawpers;{Punk rock|Rock and roll|Blues rock|Americana (music)}
The Yelling (band);{Punk rock|Hard rock|Noise rock}
The Yellow Balloon (band);Sunshine pop
The Yellow Dogs;{Indie rock|Post-punk revival}
The Yellow Melodies;Indie pop
The Yellow Monkey;{Glam rock|Hard rock|Alternative rock}
The Yellow Moon Band;{Psychedelic rock|Progressive rock|Progressive folk|Progressive pop}
The Yellow Payges;{Psychedelic rock|Rock and roll|Garage rock}
The Yes-Men;{Detroit|Punk rock}
The Young Aborigines;Hardcore punk
The Young Americans;{Pop music|Broadway theatre|Dance music}
The Young Dudes;Indie rock
The Young Gods;{Industrial rock|Dark ambient|Post-industrial music}
The Young Novelists;{Folk music|Americana (music)}
The Young Professionals;{Pop music|Electronic music}
The Young Punx;{House music|Electronica|Nu-disco|Big beat|Alternative hip hop}
The Young Romans;NULL
The Young Snakes;{New wave music|Rock music|Alternative rock|Post-punk}
The Young Tradition;Folk music
The Young Veins;{Psychedelic rock|Indie rock|Garage rock}
The Young Werewolves;{Garage rock|Rockabilly|Surf music|Psychobilly|Horror punk}
The Youngbloods;{Psychedelic rock|Folk rock}
The Youth (band);{Punk rock|Alternative rock|Post-punk}
The Yummy Fur;Indie rock
The Yuppie Pricks;{Punk rock|Comedy}
The Zambonis;{Indie rock|Pop punk}
The Zephyrs;{Folk rock|Shoegazing|Independent music}
The Zeros (English band);Punk rock
The Ziggens;{Punk rock|Rockabilly|Surf music|Cowpunk}
The Zilis;Rock and roll
The Zimmers;Rock music
The Zolas;Indie rock
The Zombie Kids;{House music|Progressive house|Electro house}
The Zombies;NULL
The Zoo (Los Angeles band);Psychedelic rock
The Zorros;{Punk rock|Alternative rock}
The Zutons;{Indie rock|Blues rock}
The dB's;{Power pop|Jangle pop}
The lion the bear the fox (band);NULL
The studs;Visual kei
The von Trapps;NULL
The xx;{Dream pop|Indie pop|Alternative dance}
Theatre (band);{Hardcore punk|Mathcore}
Theatre Brook;{Funk|Rhythm and blues|Soul music|Funk rock}
Theatre of Early Music;Baroque music
Theatre of Eternal Music;{Noise music|Minimal music|Drone music|Experimental music|Avant-garde music}
Theatre of Hate;{Gothic rock|Post-punk}
Theatre of Ice;{Gothic rock|Deathrock|Horror punk|Post-punk}
Theatre of Sheep;New wave music
Theatre of Tragedy;{Industrial metal|Gothic metal|Death-doom}
Theatres des Vampires;{Black metal|Gothic metal}
Theaudience (band);{Britpop|Indie rock|Alternative rock}
Thebandwithnoname;{Nu metal|Christian rock|Christian metal|Christian hip hop|Crunk|Grime music|Christian electronic dance music}
Thee Attacks;{Indie rock|Garage rock|Super Rock '84 in Japan|Retro_rock}
Thee Faction;{Punk rock|Rock music|Garage punk}
Thee Headcoatees;Garage rock
Thee Headcoats;{Punk rock|Garage rock}
Thee Heavenly Music Association;{Indie rock|Shoegazing|Noise pop}
Thee Hypnotics;{Psychedelic rock|Hard rock|Garage rock}
Thee Michelle Gun Elephant;{Garage rock|Blues rock|Punk blues}
Thee Mighty Caesars;{Punk rock|Garage rock}
Thee More Shallows;{Indie rock|Experimental rock}
Thee Oh Sees;{Punk rock|Psychedelic rock|Art rock|Garage rock|Alternative rock|Noise rock|Freak folk|Post-punk}
Thee Shams;{Garage rock|Southern rock}
Thee Silver Mt. Zion Memorial Orchestra;{Art rock|Post-rock|Experimental rock}
Thee Undatakerz;{Horrorcore|Hip hop music}
Thees Uhlmann;{Rock and roll|Indie rock}
ThefucKINGFUCKS;{Industrial rock|Alternative rock|Performance art}
Their / They're / There;{Emo|Indie rock|Math rock}
Thelastplaceyoulook;{Emo|Hard rock|Alternative rock|Post-grunge}
Thelema Trio;Contemporary classical music
Thelonious Monster;NULL
Them (band);{Psychedelic rock|Hard rock|Garage rock|Blues rock|British rhythm and blues}
Them Clones;Alternative rock
Them Crooked Vultures;{Psychedelic rock|Hard rock|Blues rock}
Them Terribles;NULL
Themselves;Underground hip hop
Then Jerico;{New wave music|Alternative rock|Pop rock}
Thenewno2;{Psychedelic rock|Art rock|Indie rock|Alternative rock|Neo-psychedelia|Electronic rock}
Theo & the Skyscrapers;Electronic music
Theocracy (band);{Progressive metal|Power metal|Christian metal}
Theodor Bastard;{Trip hop|Ambient music|Dark wave|Neofolk|Experimental music}
Theodore Unit;Hip hop music
Theoretical Girl;{New wave music|Alternative rock|Indie pop|Post-punk}
Theory in Practice;Technical death metal
Theory of a Deadman;{Hard rock|Post-grunge}
Thepetebox;{Hip hop music|Beatboxing}
Therapy?;{Heavy metal music|Punk rock|Grunge|Alternative rock|Alternative metal|Noise rock|Industrial metal|Crossover thrash}
There for Tomorrow;{Post-rock|Emo|Alternative rock|Pop punk}
Therefore I Am;{Indie rock|Alternative rock|Post-hardcore}
Theremyn 4;{New wave music|Rock music|Electronica|Techno}
Thergothon;{Doom metal|Death-doom}
Therion (band);{Symphonic metal|Gothic metal|Death-doom}
Thermostatic;{Synthpop|Bitpop|Electronic music}
These Animal Men;{Britpop|Alternative rock}
These Are Powers;{Experimental rock|Electronic music}
These Arms Are Snakes;{Math rock|Post-hardcore|Mathcore|Art punk|Experimental rock}
These Hearts;{Christian metal|Christian hardcore|Emo pop}
These Immortal Souls;Post-punk
These Kids Wear Crowns;{Power pop|Pop rock}
These New Puritans;{Art rock|Post-rock|Post-punk|Neoclassicism (music)}
These United States;{Psychedelic rock|Pop music|Rock and roll|Garage rock|Alternative country|Psychedelic folk|Indie folk}
Theset;{Heavy metal music|Progressive metal|Hard rock|Alternative rock|Metalcore|Post-grunge}
They Might Be Giants;{Indie rock|Alternative rock|Experimental rock|Children's music}
They Shoot Horses Don't They? (band);Indie rock
Thievery Corporation;NULL
Thieves & Liars;{Heavy metal music|Christian rock|Christian metal}
Thieves (band);{Pop music|Soul music|Indie rock}
Thieves Like Us (band);Electronic music
Thieves and Villains;{Indie rock|Indie pop}
Thin Dark Line;Alternative rock
Thin Ice (band);{Hardcore punk|Christian hardcore}
Thin Lizard Dawn;{Indie rock|Alternative rock}
Thin Lizzy;{Heavy metal music|Hard rock|Blues rock}
Thin White Rope;{Alternative rock|Palm Desert Scene|Experimental rock}
Thine Eyes Bleed;Melodic death metal
Things in my pocket;{Electronica|Independent music}
Things of Stone and Wood;{Folk music|Rock music|Indie rock}
Thingy (band);NULL
Think (band);NULL
Think About Life;{Indie rock|Electronic music}
Thinking Fellers Union Local 282;{Indie rock|Noise rock|Experimental rock}
Thinking Plague;Avant-prog
Third Carrickfergus Silver Band;British brass band
Third Coast Kings;{Soul music|Deep funk}
Third Coast Percussion;NULL
Third Day;{Christian rock|Contemporary Christian music|Southern rock}
Third Eye Blind;{Alternative rock|Pop rock|Post-grunge}
Third Harvest;{Progressive rock|Alternative rock}
Third World (band);{Disco|Funk|Reggae|Ska}
Thirdmoon;{Black metal|Melodic death metal}
Thirsty Fish;Alternative hip hop
Thirsty Merc;Pop rock
Thirteen:13;Alternative rock
Thirteen Senses;{Art rock|Indie rock|Alternative rock|Dream pop|Post-Britpop}
Thirty Called Arson;{Hardcore punk|Metalcore}
Thirty Seconds to Mars;Alternative rock
Thirtyseven;{Pop punk|Christian punk}
ThisGirl;{Rock music|Jazz|Independent music}
This Ascension;{Gothic rock|Ethereal wave}
This Beautiful Republic;Christian rock
This Bike Is a Pipe Bomb;{Cowpunk|Folk punk}
This Busy Monster;Indie rock
This Century;{Pop music|Power pop|Indie pop|Pop rock}
This Condition;{Rock music|Pop rock}
This Day Forward;{Indie rock|Metalcore|Post-hardcore}
This Day and Age;Indie rock
This Empty Flow;{Ambient music|Gothic rock|Doom metal}
This Ending;{Death metal|Thrash metal|Industrial metal|Melodic death metal}
This Et Al;{Indie rock|Alternative rock}
This Heat;{Post-punk|Experimental rock}
This Is Hell (band);{Hardcore punk|Melodic hardcore|Crossover thrash}
This Is Ivy League;{Pop music|Acoustic music|Independent music}
This Is Menace;{Nu metal|Alternative metal|Metalcore}
This Is Seb Clarke;{Punk rock|Soul music|Independent music}
This Is Your Captain Speaking;Post-rock
This Is a Process of a Still Life;{Ambient music|Post-rock|Country blues|Spiritual (music)|Jazz}
This Is the Kit;{Alternative rock|Folk rock}
This Kind of Punishment;Post-punk
This Moment in Black History;Punk rock
This Mortal Coil;{Folk music|Ambient music|Gothic rock|Dream pop|Neoclassical dark wave|Ethereal wave|Post-punk|Experimental music|Acoustic music}
This Patch of Sky;Post-rock
This Picture;Alternative rock
This Providence;{Indie rock|Alternative rock}
This Rigid Empire;{Punk rock|Pop punk|Pop rock}
This Time Next Year (band);Pop punk
This Town Needs Guns;{Progressive rock|Emo|Indie rock|Alternative rock|Math rock}
This Transmission;{Indie rock|Pop punk|Post-hardcore}
This Unique Museum;{Folk rock|Acoustic music}
This Wicked Tongue (band);Rock music
This Wild Life;{Emo|Pop punk|Acoustic music}
This Will Destroy You;{Ambient music|Post-rock|Instrumental rock|Post-metal}
This World (band);{World music|Progressive rock}
This World Fair;{Pop music|Progressive rock|Alternative rock}
This or the Apocalypse;Metalcore
Thisway;{Alternative rock|Indie pop}
Thomanerchor;{Choir|Classical music}
Thomas Jefferson Slave Apartments;Lo-fi music
Thomas Tantrum;Indie rock
Thompson (band);{Heavy metal music|Hard rock|Folk rock|Symphonic metal|Pop rock}
Thompson Square;Country music
Thompson Twins;{New wave music|Synthpop|Post-punk}
Thor-Erics;Dansband
Thor (band);{Heavy metal music|Hard rock|Power metal}
Thor Görans;NULL
Thorleifs;Dansband
Thornley (band);{Hard rock|Alternative metal|Post-grunge}
Thorns (band);{Black metal|Electronic music}
Thorr's Hammer;Death-doom
Those Dancing Days;Indie pop
Those Darlins;{Country music|Rock and roll|Garage rock}
Those Darn Accordions;{Pop music|Rock music|Polka|Comedy music}
Those Days (band);{Emo|Alternative rock}
Those Manic Seas;{Post-rock|Indie rock|Alternative rock|Dream pop|Post-punk}
Those Mockingbirds;{Alternative rock|Post-grunge}
Those Nervous Animals;Pop music
Those Unknown;NULL
Those Usual Suspects;{House music|Tribal house|Music of Africa}
Those Who Fear;{Grindcore|Christian metal|Deathcore}
ThouShaltNot;{Industrial music|Gothic rock|Synthpop}
Thou (American band);{Doom metal|Sludge metal}
Thou (Belgian band);{Trip hop|Alternative rock|Pop rock}
Thou Art Lord;{Black metal|Death metal}
Thou Shalt Suffer;{Black metal|Medieval music}
Thought Chamber;Progressive metal
Thought Industry;{Progressive metal|Alternative rock|Avant-garde metal|Experimental music}
Thousand Foot Krutch;{Nu metal|Christian rock|Hard rock|Rap metal}
Thousand Yard Stare (band);{Alternative rock|Indie pop}
Thrall (metal band);Black metal
Thrasher Shiver;Country music
Thrashing Doves;{Rock music|Alternative rock}
Threat Signal;{Progressive metal|Industrial metal|Melodic death metal|Metalcore|Groove metal}
Threatmantics;Alternative rock
Three (band);NULL
Three 6 Mafia;{Crunk|Horrorcore|Hip hop music}
Three Days Grace;{Nu metal|Hard rock|Alternative rock|Alternative metal|Post-grunge}
Three Dead Trolls in a Baggie;Comedy music
Three Dog Night;{Soft rock|Blue-eyed soul|Pop rock}
Three Drives;Trance music
Three Fish;{World music|Alternative rock|Post-grunge}
Three Leaning Men;NULL
Three Loco;Comedy hip hop
Three Mile Pilot;{Indie rock|Alternative rock|Noise rock}
Three Ounces of Love;NULL
Three Quarter Ale;{Folk rock|Madrigal}
Three Trapped Tigers;{Intelligent dance music|Instrumental rock|Math rock|Noise rock|Electronic rock|Experimental rock}
Three Weird Sisters (band);Filk music
Three X Sisters;NULL
Threnody Ensemble;{Classical music|Independent music}
Threshold (band);Progressive metal
Thrice;{Indie rock|Alternative rock|Post-hardcore|Melodic hardcore}
Thrift Store Cowboys;{Indie rock|Alternative country}
Thrill Collins;{Ska|Skiffle|Lounge music|Jazz}
Thrilled Skinny;{Indie pop|Post-punk}
Thriving Ivory;{Indie rock|Pop rock}
Throbbing Gristle;{Industrial music|Dark ambient|Post-punk|Electronic music|Experimental music}
Throes of Dawn;{Black metal|Progressive metal|Dark metal}
Thronar;{Black metal|Viking metal|Folk metal}
Throne of Chaos;Heavy metal music
Thrones (band);{Doom metal|Noise rock|Experimental rock|Avant-garde music}
Through Fire (band);{Hard rock|Post-grunge}
Through Solace;{Post-rock|Metalcore|Christian hardcore}
Through the Eyes of the Dead;{Melodic death metal|Deathcore}
Through the Sparks;{Rock music|Alternative rock|Psychedelic music}
Throw (band);{Punk rock|Hardcore punk}
Throw Me the Statue;Indie pop
Throw Rag;{Punk rock|Rock and roll|Psychobilly|Palm Desert Scene}
Throw the Fight;{Alternative rock|Alternative metal|Post-hardcore}
Throwdown (band);{Hardcore punk|Metalcore|Groove metal}
Throwing Muses;{Alternative rock|Post-punk}
Thrown into Exile;{Thrash metal|Metalcore|Groove metal}
Thrum (band);{Indie rock|Alternative country}
Thrush Hermit;Alternative rock
Thug Life;{Gangsta rap|G-funk|Hip hop music}
Thulcandra (band);Black metal
Thulsa Doom (band);{Heavy metal music|Hard rock|Doom metal|Stoner rock}
Thumb (band);{Nu metal|Alternative metal}
Thumlock;{Heavy metal music|Psychedelic rock|Space rock|Stoner rock}
Thumpers;{Synthpop|Indie pop}
Thundamentals;Australian hip hop
Thunder (band);{Heavy metal music|Hard rock}
Thunder Express;{Rock music|Garage rock|Power pop}
Thunderbirds Are Now!;{New wave music|Indie rock|Noise rock|Post-punk revival}
Thunderbolt (Norwegian band);Heavy metal music
Thunderbugs (band);Pop music
Thunderegg (band);{Indie rock|Low fidelity}
Thunderheist;{Electropop|Ghettotech|Electronic dance music}
Thundering Asteroids!;Geek rock
Thundermug (band);NULL
Thunderpuss;{House music|Tribal house|Electronic dance music}
Thunderstone (band);Power metal
